historical_avg,planned_tonnes,downtime_hours,rainfall,forecast_tonnes
6453.2669242050415,9625.019845315132,242.99362310504173,1172.1282309246149,7459.4415763574425
10056.967437813739,14239.976518799784,71.48690116592748,1231.8502929189526,13415.20652820787
5620.414169565543,8040.876611557603,67.31489393993864,806.3847019045945,8081.106010913579
5711.556788779098,10690.407475181539,151.35087721645073,1440.203945097266,8465.979862447994
10738.658496770964,14009.387215414303,78.25477378862668,1038.113765814333,13080.391916292194
10660.18424887821,7801.586477326193,2.7261104853648965,1993.4677650115239,7122.052417349499
13780.335128444569,7098.63113740783,194.48925818964045,1220.2752728928317,5756.989063541411
10578.73675660073,14836.839676879898,153.3281464417194,1228.8284092844196,11712.50347109555
14597.910204048501,9429.296627591959,133.65534434794836,1348.777681116008,7794.392556467541
5486.948483999297,12838.70124909032,290.0905543854946,1875.1340046781202,8314.203558638885
5980.076847807411,6253.486042639384,171.35975518887412,1701.2271497896254,5108.116674971011
5440.658615703814,12900.468884094496,259.02947333681533,1176.695104696762,9855.14604070055
6852.7685033354,9161.013115469705,41.835070861548054,1578.048898959194,7560.889509291582
10412.701109416781,6557.408535874418,170.7619389388283,1379.3532481711425,5233.249680299432
11455.72181427428,12098.127615481171,260.3938880192709,1238.5505730518735,9213.782055077849
5455.851579486688,8408.038160731732,174.9317271839694,788.4736591765259,6964.640771651616
14459.708898455992,9868.0724205188,215.40425343810045,1195.9043951823364,7857.6218722126
13421.65376650381,6805.808122865136,111.61307034366222,868.7278805338619,6110.844065553302
7966.124821570931,7471.632510949454,27.734855111119984,1872.263224777482,6717.906941334459
5771.87530226468,8979.772354958437,137.37008853812142,1003.1102202445204,7569.230075510681
6698.870732190573,6897.595005601572,118.34381725165726,1928.3960218000584,5195.5478442791955
6269.444137549726,15108.262646863152,260.1180547136842,1299.5829351420668,10691.50642832602
6232.837792989469,6060.470431839784,73.19859070574168,1447.3165680142406,5520.849003986488
10185.616886657339,10838.602188643115,290.0202682605324,1314.4106667339915,7636.456187704733
7458.474424934003,7232.474581325514,287.44143594134886,694.0709254500514,5364.919306369299
8581.397165291444,9076.790894779486,74.28949292143162,1063.7318285119113,8046.573659434629
14895.053333843225,15260.595598182656,104.41558664319615,648.7191684164359,13689.866037154332
11843.142489253449,7616.945532739868,268.6667222621655,1434.4310662750727,5751.168543749606
14489.806670470014,15658.323197183327,289.98666626883227,1170.3112928006585,11074.099128837353
6425.5655503311555,8057.9437698942165,133.0317308508132,1666.9774573564052,6135.4266014233135
8821.394748325692,13415.661084668296,96.29911369226934,830.7057214990548,12266.38399872969
10547.318032823543,11466.772648973118,157.8282039754626,746.8490876440023,9708.4553815537
5767.58061888738,14844.787275967592,206.33076190972045,1109.4983464456518,11698.56759155968
5041.874436279579,11539.93255503131,82.04235461249394,1889.8780748275717,10163.963398332582
11704.343337969174,11345.592191563086,220.94195238572183,1565.6327225186176,8444.477329832387
11418.195168014354,7954.580003683999,15.49720713439231,1128.385437189378,7605.370811747938
